D1,D19,D31,D40,D49,D61,D28,D58
-61.4383,-157.8413,-65.2457,-61.4939,-173.4971,-179.5361,76.1234,176.5917
177.2977,-65.43,102.7146,-178.8183,-178.8296,-179.9548,152.3476,-178.7725
74.8207,-160.1214,-64.4726,-61.6273,-173.6451,-179.6147,83.4975,-176.8932
61.4485,52.6747,67.4196,176.5026,-179.6688,-179.8829,79.8689,174.6473
169.7261,53.6623,69.0028,-179.6768,-66.1868,-176.7112,156.8937,-173.8067
59.5263,60.1976,173.0272,175.7202,62.2864,62.1805,157.9414,-173.4418
59.7282,60.6186,169.2812,64.994,173.4469,65.4137,158.7387,-173.0019
95.8592,-60.0545,-175.2474,-179.5057,-179.9239,179.9963,80.9803,179.428
70.6733,-174.4284,179.8213,62.0975,57.9049,61.164,83.7681,179.2622
70.7047,-174.8653,-173.8764,-61.8586,-59.5646,-61.6082,84.0525,179.5156
-62.4,-171.0008,-173.8725,-61.7332,-59.7503,-61.7109,76.5458,173.6452
177.6767,-176.4608,-84.8111,179.174,178.6723,179.7839,116.2917,-175.0418
59.5088,60.633,173.5255,-176.1427,-62.7408,-61.8505,158.6426,-172.9725
171.8129,62.6033,168.9324,61.6894,59.985,61.7797,158.9226,-173.5667
-62.3721,-170.6799,179.919,62.2237,57.8825,61.1486,75.9224,173.247
-61.0622,-59.8003,-168.2764,-61.7252,-63.06,-176.1225,75.6361,172.8856
-60.5515,-59.9237,-173.4148,-175.2318,-62.4621,-61.9737,75.6583,172.8003
176.36,-69.0143,-170.2201,-61.3946,-59.5676,-61.6064,152.988,-178.8948
71.055,-176.5436,69.588,171.9823,62.7033,62.577,82.5993,178.9426
-60.4261,-59.8642,-170.3957,-64.8952,-173.1782,-65.3129,75.9527,173.0312
70.2419,-136.8485,-178.5974,-179.0437,-179.9597,-179.9592,167.5913,-171.7606
59.7534,60.5907,168.8643,65.2157,179.629,-66.0437,158.6568,-173.1448
-60.3573,-59.9542,-173.7003,176.6184,62.9125,61.9088,76.1058,173.2053
69.7458,-179.3644,63.8734,59.4129,61.6508,175.9899,82.6713,178.0735
-60.0022,-57.6014,-61.8967,-174.9186,-176.6885,-65.2401,76.8927,173.705
-60.1773,-58.014,-59.7663,-61.1156,-175.7283,-179.8252,76.4886,173.4818
-60.0925,-57.7039,-62.242,-171.3962,-65.7397,-176.7203,76.9159,173.693
-59.9617,-57.6456,-62.2351,-174.9355,177.0281,65.6164,77.003,173.8359
70.3037,-178.3912,65.5618,63.0567,172.0954,65.1779,83.0228,178.5051
71.2457,-175.863,71.9251,-177.1485,-62.479,-61.737,83.2701,178.9773
